maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,4,409,success,None,24/Jul/2026:12:40:18.103537,24/Jul/2026:12:40:18.887607,0.7841,5,24/Jul/2026:12:40:08.702978;24/Jul/2026:12:40:12.178677;24/Jul/2026:12:40:18.105343;24/Jul/2026:12:40:18.105289;24/Jul/2026:12:40:18.104601,9.4084;5.9335;0.0258;0.0293;0.1840,bytes=1389066683-1389990827;bytes=1482043846-1482223600;bytes=1693139227-1693231849;bytes=1689394637-1689514338;bytes=1682395239-1683283600,9eaa1e49;b267259a;69d20d79;4e62ef82;91e7b935
1,4,419,success,None,24/Jul/2026:12:40:18.887855,24/Jul/2026:12:40:19.704768,0.8169,5,24/Jul/2026:12:40:17.208998;24/Jul/2026:12:40:14.483353;24/Jul/2026:12:40:18.889879;24/Jul/2026:12:40:18.889232;24/Jul/2026:12:40:17.210261,1.6867;4.4279;0.0296;0.0407;1.7328,bytes=1640048703-1640950567;bytes=1536026049-1536141400;bytes=1734825344-1734910513;bytes=1726916520-1727026583;bytes=1649417094-1650305781,c6397147;e5ad676f;ae0b23f9;fbecd9d3;872f91e3
1,4,425,success,None,24/Jul/2026:12:40:19.704991,24/Jul/2026:12:40:20.522715,0.8177,4,24/Jul/2026:12:40:18.889630;24/Jul/2026:12:40:15.234074;24/Jul/2026:12:40:18.104718;24/Jul/2026:12:40:18.889101,0.8229;4.4792;1.6099;0.8279,bytes=1729710490-1730607334;bytes=1578714514-1579605577;bytes=1684190022-1685078691;bytes=1725621469-1726525913,8e90ead2;2a571104;9ca13f95;157afe3b
1,4,430,success,None,24/Jul/2026:12:40:20.522968,24/Jul/2026:12:40:21.597135,1.0742,6,24/Jul/2026:12:40:13.213111;24/Jul/2026:12:40:19.705657;24/Jul/2026:12:40:19.706046;24/Jul/2026:12:40:20.524840;24/Jul/2026:12:40:16.045719;24/Jul/2026:12:40:19.706648,7.3185;0.8268;0.8303;0.0249;4.5059;0.8457,bytes=1509197624-1510114642;bytes=1747225560-1747449576;bytes=1748566002-1749442384;bytes=1776388448-1776501527;bytes=1627088920-1627291683;bytes=1754602557-1755511310,dadb974b;7f3c25a3;1cba02fe;6d28989e;f5858739;c21dd889
1,4,444,success,None,24/Jul/2026:12:40:21.597387,24/Jul/2026:12:40:22.660782,1.0634,5,24/Jul/2026:12:40:20.524711;24/Jul/2026:12:40:17.209239;24/Jul/2026:12:40:20.524208;24/Jul/2026:12:40:19.706114;24/Jul/2026:12:40:18.888974,1.0831;4.3987;1.0841;1.9121;2.7403,bytes=1774269718-1775164389;bytes=1641852588-1642770736;bytes=1770232840-1771135506;bytes=1749442385-1750373391;bytes=1723838486-1724725622,dd2bd823;b843ded6;c1aeb093;75c1bd62;a25ebcf1
1,4,450,success,None,24/Jul/2026:12:40:22.661025,24/Jul/2026:12:40:23.327192,0.6662,1,24/Jul/2026:12:40:21.598970,1.1089,bytes=1831223989-1832105533,ded34732
1,4,462,success,None,24/Jul/2026:12:40:23.327481,24/Jul/2026:12:40:24.216239,0.8887,6,24/Jul/2026:12:40:09.792632;24/Jul/2026:12:40:18.104021;24/Jul/2026:12:40:20.524580;24/Jul/2026:12:40:22.661651;24/Jul/2026:12:40:22.662159;24/Jul/2026:12:40:23.328524,13.5436;5.2341;2.8169;0.6924;0.6940;0.0301,bytes=1424456688-1424551419;bytes=1678390034-1679271343;bytes=1772498629-1773400638;bytes=1849541407-1850459017;bytes=1852002536-1852879233;bytes=1904514815-1904639433,5fe91555;9a0a5069;d54375c3;45654681;7cc69c7d;fd9e4fa0
2,4,2,success,None,24/Jul/2026:12:40:24.217428,24/Jul/2026:12:40:25.070647,0.8532,6,24/Jul/2026:12:39:58.453232;24/Jul/2026:12:40:04.276696;24/Jul/2026:12:40:24.218265;24/Jul/2026:12:39:54.817685;24/Jul/2026:12:40:24.219160;24/Jul/2026:12:40:06.859570,25.7834;19.9600;0.0186;29.4190;0.0205;17.4343,bytes=913375756-913488024;bytes=1177110087-1178006848;bytes=8856070-9744491;bytes=790387473-791287727;bytes=19546918-19624247;bytes=1278008141-1278905952,2bad7377;47f01c9a;ee923020;552f9412;94a52492;2e8dd7e5
2,4,11,success,None,24/Jul/2026:12:40:24.217603,24/Jul/2026:12:40:25.569483,1.3519,10,24/Jul/2026:12:39:58.453232;24/Jul/2026:12:40:04.276696;24/Jul/2026:12:40:24.218265;24/Jul/2026:12:39:54.817685;24/Jul/2026:12:40:24.219160;24/Jul/2026:12:40:06.859570;24/Jul/2026:12:40:25.072026;24/Jul/2026:12:40:25.071810;24/Jul/2026:12:40:25.071955;24/Jul/2026:12:40:11.316663,25.7834;19.9600;0.0186;29.4190;0.0205;17.4343;0.0075;0.0106;0.0327;13.7916,bytes=913375756-913488024;bytes=1177110087-1178006848;bytes=8856070-9744491;bytes=790387473-791287727;bytes=19546918-19624247;bytes=1278008141-1278905952;bytes=92805846-92892538;bytes=87839551-88745992;bytes=89074013-89192873;bytes=1453329840-1453549915,2bad7377;47f01c9a;ee923020;552f9412;94a52492;2e8dd7e5;fad4031f;6698841f;9421b9c3;b4757939
2,4,21,success,None,24/Jul/2026:12:40:25.071005,24/Jul/2026:12:40:25.901720,0.8307,6,24/Jul/2026:12:40:25.072026;24/Jul/2026:12:40:25.071810;24/Jul/2026:12:40:25.071955;24/Jul/2026:12:40:11.316663;24/Jul/2026:12:40:00.822473;24/Jul/2026:12:40:24.218355,0.0075;0.0106;0.0327;13.7916;24.7540;1.3788,bytes=92805846-92892538;bytes=87839551-88745992;bytes=89074013-89192873;bytes=1453329840-1453549915;bytes=1001583117-1002519115;bytes=9744492-10652386,fad4031f;6698841f;9421b9c3;b4757939;1d2d452d;76f16616
